open_time,close,volume
2024-03-18,1.391,11798098.56
2024-03-25,1.356,12583338.07
2024-04-01,1.383,10648637.19
2024-04-08,1.308,11603635.22
2024-04-15,1.266,8475847.58
2024-04-22,1.251,6766888.71
2024-04-29,1.301,8508949.25
2024-05-06,1.235,6230482.02
2024-05-13,1.305,7691574.82
2024-05-20,1.44,7315113.24
2024-05-27,1.401,6516196.59
2024-06-03,1.445,6935305.55
2024-06-10,1.351,6594848.46
2024-06-17,1.202,7697120.61
2024-06-24,1.208,7318757.4
2024-07-01,1.021,12540708.18
2024-07-08,1.181,6175153.31
2024-07-15,1.273,6206065.77
2024-07-22,1.201,6236828.54
2024-07-29,0.992,7996359.04
2024-08-05,1.041,11742748.81
2024-08-12,1.046,4841818.11
2024-08-19,1.069,7020367.11
2024-08-26,0.975,6843546.7
2024-09-02,0.941,6529561.15
2024-09-09,0.96,6008327.63
2024-09-16,1.05,7949640.54
2024-09-23,1.058,6012032.29
2024-09-30,0.998,7241982.02
2024-10-07,0.993,6104589.62
2024-10-14,1.041,7971338.74
2024-10-21,0.983,6279290.08
2024-10-28,0.981,9587794.49
2024-11-04,1.163,13345911.47
2024-11-11,1.227,21960864.24
2024-11-18,1.351,19012552.76
2024-11-25,1.457,16738924.05
2024-12-02,1.525,20069388.06
2024-12-09,1.498,16188888.48
2024-12-16,1.324,12991108.3
2024-12-23,1.336,7449099.65
2024-12-30,1.376,8813173.73
2025-01-06,1.248,8347683.77
2025-01-13,1.308,11955555.08
2025-01-20,1.418,8328299.05
2025-01-27,1.331,8478056.01
2025-02-03,1.313,9438634.2
2025-02-10,1.347,4972288.2
2025-02-17,1.333,5634572.78
2025-02-24,1.251,16218153.99
2025-03-03,1.071,9433548.35
2025-03-10,1.052,11425279.12
2025-03-17,1.144,5683997.15
2025-03-24,1.068,5894367.08
2025-03-31,0.976,9529941.12
2025-04-07,1.02,15171435.34
2025-04-14,1.024,4808778.14
2025-04-21,1.113,8129683.95
2025-04-28,1.22,9872774.62
2025-05-05,1.27,6885930.06
2025-05-12,1.294,6644395.55
2025-05-19,1.271,8883724.28
2025-05-26,1.221,5106077.06
2025-06-02,1.226,4916600.57
2025-06-09,1.221,5799790.42
2025-06-16,1.099,5523502.22
2025-06-23,1.207,5365459.89
2025-06-30,1.233,5972934.07
2025-07-07,1.284,7232436.29
2025-07-14,1.348,8391374.76
2025-07-21,1.333,7272769.66
2025-07-28,1.318,5416110.64
2025-08-04,1.367,5335036.99
2025-08-11,1.331,6175068.62
2025-08-18,1.279,6846941.55
2025-08-25,1.223,7364705.31
2025-09-01,1.268,4468367.45
2025-09-08,1.282,4275231.36
2025-09-15,1.273,4771176.01
2025-09-22,1.238,5334255.95
2025-09-29,1.266,7225108.92
2025-10-06,1.21,8823379.46
2025-10-13,1.168,8010303.51
2025-10-20,1.142,5860630.9
2025-10-27,1.131,5906684.42
2025-11-03,1.1,10058596.07
2025-11-10,0.988,8259852.44
2025-11-17,0.939,8504949.16
2025-11-24,0.945,6180468.33
2025-12-01,0.982,7565417.93
2025-12-08,0.94,4797940.44
2025-12-15,0.928,5108128.87
2025-12-22,0.907,3562466.87
2025-12-29,0.947,4346341.99
2026-01-05,0.958,5789181.12
2026-01-12,0.964,5686895.26
2026-01-19,0.896,6899611.79
2026-01-26,0.796,8908822.58
2026-02-02,0.81,21414363.61
2026-02-09,0.798,2682732.78
