open_time,close,volume
2025-09-01,0.2335,3885050969.0
2025-09-02,0.2271,2049194844.4
2025-09-03,0.2173,938469371.5
2025-09-04,0.1867,2578099926.3
2025-09-05,0.1812,1197014524.6
2025-09-06,0.2162,1340046809.7
2025-09-07,0.2251,1429508177.6
2025-09-08,0.2111,1358523933.1
2025-09-09,0.2006,846687631.1
2025-09-10,0.2019,602526840.6
2025-09-11,0.1999,551120436.3
2025-09-12,0.2071,520689244.4
2025-09-13,0.2253,573313727.9
2025-09-14,0.2104,1397789547.7
2025-09-15,0.2168,906614915.1
2025-09-16,0.2241,564085863.2
2025-09-17,0.2205,461956069.2
2025-09-18,0.2202,359800387.7
2025-09-19,0.2233,941373197.8
2025-09-20,0.2245,423969436.3
2025-09-21,0.2436,1074191220.4
2025-09-22,0.2122,1019148938.0
2025-09-23,0.1967,655730922.4
2025-09-24,0.1977,339807965.3
2025-09-25,0.1923,681808877.5
2025-09-26,0.2101,467410292.4
2025-09-27,0.2065,208454278.5
2025-09-28,0.2207,397740609.4
2025-09-29,0.2013,490163259.7
2025-09-30,0.1962,408980734.6
2025-10-01,0.2056,313986744.5
2025-10-02,0.2082,254118638.8
2025-10-03,0.2013,383402114.8
2025-10-04,0.2006,127125723.0
2025-10-05,0.1996,169673181.4
2025-10-06,0.1992,163855014.0
2025-10-07,0.1822,530389071.3
2025-10-08,0.186,406562311.6
2025-10-09,0.1793,247306803.9
2025-10-10,0.1248,1386857008.1
2025-10-11,0.1225,672061859.5
2025-10-12,0.1411,679932263.8
2025-10-13,0.1521,350151478.5
2025-10-14,0.1441,486794639.3
2025-10-15,0.1386,212530250.0
2025-10-16,0.1356,219926766.2
2025-10-17,0.1297,240571268.4
2025-10-18,0.1305,71039670.5
2025-10-19,0.1315,118355668.9
2025-10-20,0.1321,122192046.4
2025-10-21,0.126,206427043.4
2025-10-22,0.1222,239825006.3
2025-10-23,0.142,418755973.0
2025-10-24,0.1361,238633373.9
2025-10-25,0.1378,155652110.7
2025-10-26,0.1505,244493110.3
2025-10-27,0.1477,248197429.0
2025-10-28,0.138,188445049.8
2025-10-29,0.145,433306135.2
2025-10-30,0.137,310676396.4
2025-10-31,0.1373,154705544.0
2025-11-01,0.1387,104439756.1
2025-11-02,0.135,109113700.1
2025-11-03,0.1157,289572062.1
2025-11-04,0.1136,396056134.8
2025-11-05,0.1236,290178154.3
2025-11-06,0.115,145120081.1
2025-11-07,0.1253,214781894.1
2025-11-08,0.1245,114064028.1
2025-11-09,0.1265,112541116.2
2025-11-10,0.1543,1143092610.2
2025-11-11,0.1502,293005124.6
2025-11-12,0.1447,297786634.6
2025-11-13,0.145,201691943.3
2025-11-14,0.1428,256937340.3
2025-11-15,0.1453,163940061.1
2025-11-16,0.1411,210409561.2
2025-11-17,0.1373,203747209.0
2025-11-18,0.1406,187226272.9
2025-11-19,0.1383,123278121.2
2025-11-20,0.1315,122264451.7
2025-11-21,0.1452,456846491.7
2025-11-22,0.1525,357602988.7
2025-11-23,0.1527,139888070.6
2025-11-24,0.154,357380373.4
2025-11-25,0.1648,256479662.8
2025-11-26,0.1651,298756279.4
2025-11-27,0.1635,113364684.7
2025-11-28,0.16,117482671.7
2025-11-29,0.1602,46602370.7
2025-11-30,0.1593,78732725.8
2025-12-01,0.1535,347752071.0
2025-12-02,0.1606,131488949.0
2025-12-03,0.1608,89540820.6
2025-12-04,0.1533,69970484.9
2025-12-05,0.1509,57067354.6
2025-12-06,0.1511,25783720.5
2025-12-07,0.1484,44929758.6
2025-12-08,0.1508,61851805.2
2025-12-09,0.1516,67802647.7
2025-12-10,0.1531,95397379.2
2025-12-11,0.1469,60369764.0
2025-12-12,0.1431,35625041.9
2025-12-13,0.1444,24640490.1
2025-12-14,0.1363,57470904.0
2025-12-15,0.1338,52156409.4
2025-12-16,0.1352,34941462.2
