open_time,close,volume
2024-03-18,135.1,627510.678
2024-03-25,132.3,597501.853
2024-04-01,120.3,347075.741
2024-04-08,104.8,602839.528
2024-04-15,106.3,335411.367
2024-04-22,101.6,241002.404
2024-04-29,101.0,216256.232
2024-05-06,94.4,223262.214
2024-05-13,94.6,175279.055
2024-05-20,92.2,244450.902
2024-05-27,91.5,222526.912
2024-06-03,87.7,290040.648
2024-06-10,82.9,247448.567
2024-06-17,74.0,216453.925
2024-06-24,77.3,261154.368
2024-07-01,69.1,258266.778
2024-07-08,74.1,149549.274
2024-07-15,76.1,191633.711
2024-07-22,71.6,165005.976
2024-07-29,60.0,238329.89
2024-08-05,64.9,314841.079
2024-08-12,62.5,119346.807
2024-08-19,68.8,115777.115
2024-08-26,60.6,146845.542
2024-09-02,69.1,235308.154
2024-09-09,72.9,272835.271
2024-09-16,73.8,164317.107
2024-09-23,76.1,174122.04
2024-09-30,69.7,205956.456
2024-10-07,64.8,185046.275
2024-10-14,67.2,195571.989
2024-10-21,61.5,216738.217
2024-10-28,56.1,293237.897
2024-11-04,67.4,379355.489
2024-11-11,79.6,1260471.015
2024-11-18,98.2,1019662.289
2024-11-25,110.6,696975.844
2024-12-02,160.7,1685463.495
2024-12-09,140.4,681888.357
2024-12-16,104.9,620509.191
2024-12-23,113.8,281926.193
2024-12-30,118.7,255959.759
2025-01-06,104.5,267211.87
2025-01-13,103.9,416951.068
2025-01-20,105.1,354746.663
2025-01-27,89.2,422188.243
2025-02-03,87.0,444804.413
2025-02-10,94.5,261115.044
2025-02-17,94.9,185874.159
2025-02-24,98.3,575489.64
2025-03-03,76.8,413895.425
2025-03-10,76.9,267610.506
2025-03-17,77.0,137577.553
2025-03-24,69.5,157079.181
2025-03-31,64.5,253508.985
2025-04-07,67.1,282157.218
2025-04-14,66.7,135190.629
2025-04-21,74.1,200985.851
2025-04-28,90.1,162673.209
2025-05-05,98.8,252668.322
2025-05-12,96.81,225234.784
2025-05-19,94.89,182114.186
2025-05-26,106.55,418819.592
2025-06-02,119.43,204694.271
2025-06-09,106.85,223214.799
2025-06-16,90.3,250985.007
2025-06-23,110.2,178621.909
2025-06-30,107.99,123404.404
2025-07-07,115.2,169943.195
2025-07-14,117.63,229544.856
2025-07-21,131.57,310295.228
2025-07-28,110.75,200079.117
2025-08-04,114.0,151941.003
2025-08-11,109.15,179616.729
2025-08-18,105.34,206607.779
2025-08-25,103.63,136696.891
2025-09-01,102.11,134038.378
2025-09-08,102.56,225982.592
2025-09-15,97.19,163474.338
2025-09-22,100.27,377597.462
2025-09-29,102.08,229154.979
2025-10-06,91.29,293317.136
2025-10-13,84.3,220691.902
2025-10-20,84.06,148240.255
2025-10-27,79.88,180966.087
2025-11-03,83.6,360014.934
2025-11-10,81.8,403656.281
2025-11-17,77.81,288477.416
2025-11-24,101.85,544072.254
2025-12-01,87.42,362877.806
2025-12-08,76.83,209255.476
2025-12-15,77.11,168890.849
2025-12-22,73.18,114283.82
2025-12-29,77.94,154279.858
2026-01-05,74.47,129999.043
2026-01-12,79.29,263169.567
2026-01-19,73.41,294471.203
2026-01-26,68.08,248304.552
2026-02-02,65.85,319419.603
2026-02-09,68.98,67968.506
