open_time,close,volume
2023-05-15,0.667,796670.73
2023-05-16,0.668,633623.71
2023-05-17,0.68,1027426.59
2023-05-18,0.688,904946.7
2023-05-19,0.681,927474.02
2023-05-20,0.688,505801.7
2023-05-21,0.672,285081.66
2023-05-22,0.68,732636.83
2023-05-23,0.684,751562.83
2023-05-24,0.669,738479.88
2023-05-25,0.668,557456.93
2023-05-26,0.679,817816.17
2023-05-27,0.666,598838.13
2023-05-28,0.68,517933.54
2023-05-29,0.689,876049.55
2023-05-30,0.693,1039641.4
2023-05-31,0.679,709783.36
2023-06-01,0.668,867606.66
2023-06-02,0.672,676571.99
2023-06-03,0.659,857807.14
2023-06-04,0.659,378622.79
2023-06-05,0.636,1162439.38
2023-06-06,0.662,2369726.37
2023-06-07,0.645,958269.65
2023-06-08,0.633,1294800.8
2023-06-09,0.627,1265557.82
2023-06-10,0.62,2363161.54
2023-06-11,0.621,1285118.47
2023-06-12,0.621,1221758.64
2023-06-13,0.619,1343142.2
2023-06-14,0.606,1330365.67
2023-06-15,0.605,2199260.3
2023-06-16,0.605,1643305.91
2023-06-17,0.608,1179301.34
2023-06-18,0.606,761353.92
2023-06-19,0.608,897742.0
2023-06-20,0.62,832183.03
2023-06-21,0.645,1598468.01
2023-06-22,0.637,940324.93
2023-06-23,0.649,1105908.98
2023-06-24,0.646,789228.1
2023-06-25,0.641,613855.24
2023-06-26,0.634,1022929.38
2023-06-27,0.643,693700.66
2023-06-28,0.625,758164.12
2023-06-29,0.641,541414.03
2023-06-30,0.645,813226.72
2023-07-01,0.643,863102.65
2023-07-02,0.635,780950.2
2023-07-03,0.634,763337.53
2023-07-04,0.64,1206177.66
2023-07-05,0.634,985037.62
2023-07-06,0.623,1420794.24
2023-07-07,0.621,752572.3
2023-07-08,0.621,381902.58
2023-07-09,0.616,358742.48
2023-07-10,0.619,1069390.53
2023-07-11,0.619,778956.04
2023-07-12,0.63,1616301.95
2023-07-13,0.64,2301235.34
2023-07-14,0.627,3193891.66
2023-07-15,0.622,744283.95
2023-07-16,0.619,587036.76
2023-07-17,0.621,800421.77
2023-07-18,0.63,1315510.07
2023-07-19,0.626,1145301.23
2023-07-20,0.635,1021776.36
2023-07-21,0.64,606596.76
2023-07-22,0.638,1209544.85
2023-07-23,0.643,453765.32
2023-07-24,0.625,636117.03
2023-07-25,0.626,1049264.02
2023-07-26,0.629,1428691.51
2023-07-27,0.649,787646.56
2023-07-28,0.656,1313372.39
2023-07-29,0.657,434887.89
2023-07-30,0.658,747402.16
2023-07-31,0.658,801168.75
2023-08-01,0.666,801096.06
2023-08-02,0.645,514874.78
2023-08-03,0.646,625687.17
2023-08-04,0.645,375771.14
2023-08-05,0.643,266998.79
2023-08-06,0.647,349644.56
2023-08-07,0.636,846455.66
2023-08-08,0.65,473076.99
2023-08-09,0.652,585476.34
2023-08-10,0.649,689479.56
2023-08-11,0.64,450916.35
2023-08-12,0.631,255712.84
2023-08-13,0.632,372173.27
2023-08-14,0.633,457597.28
2023-08-15,0.63,537922.16
2023-08-16,0.64,2679469.18
2023-08-17,0.599,1788542.26
2023-08-18,0.587,1051512.18
2023-08-19,0.59,479636.93
2023-08-20,0.587,933416.69
2023-08-21,0.591,771945.91
2023-08-22,0.588,839343.03
2023-08-23,0.597,565457.58
2023-08-24,0.594,447641.08
2023-08-25,0.594,804673.11
2023-08-26,0.589,194306.44
2023-08-27,0.593,171482.46
2023-08-28,0.588,507475.11
2023-08-29,0.61,904485.13
2023-08-30,0.598,405034.2
2023-08-31,0.581,540723.0
2023-09-01,0.575,630282.35
2023-09-02,0.583,400530.94
2023-09-03,0.587,285375.78
2023-09-04,0.584,431219.81
2023-09-05,0.584,324011.54
2023-09-06,0.587,398038.35
2023-09-07,0.588,246791.52
2023-09-08,0.585,552080.53
2023-09-09,0.582,182809.68
2023-09-10,0.575,426939.13
2023-09-11,0.557,1238675.65
2023-09-12,0.55,646149.95
2023-09-13,0.562,897907.2
2023-09-14,0.544,908738.47
2023-09-15,0.561,1490086.53
2023-09-16,0.57,730941.51
2023-09-17,0.567,496324.07
2023-09-18,0.564,567405.35
2023-09-19,0.562,981437.92
2023-09-20,0.581,704093.49
2023-09-21,0.567,1073261.56
2023-09-22,0.569,895463.65
2023-09-23,0.56,311792.71
2023-09-24,0.554,382448.44
2023-09-25,0.55,765692.22
2023-09-26,0.55,347798.86
2023-09-27,0.547,562109.1
2023-09-28,0.556,750844.47
2023-09-29,0.554,932293.56
2023-09-30,0.558,360687.43
2023-10-01,0.562,646216.81
2023-10-02,0.557,904777.89
2023-10-03,0.552,949426.63
2023-10-04,0.552,352483.92
2023-10-05,0.551,502379.87
2023-10-06,0.554,494882.51
2023-10-07,0.551,566649.29
2023-10-08,0.548,465111.72
2023-10-09,0.538,909433.77
2023-10-10,0.538,688173.14
2023-10-11,0.526,739342.94
2023-10-12,0.528,692434.81
2023-10-13,0.525,381616.93
2023-10-14,0.527,313342.92
2023-10-15,0.523,278992.29
2023-10-16,0.541,1558148.94
2023-10-17,0.529,1218090.46
2023-10-18,0.532,975826.98
2023-10-19,0.536,1040611.3
2023-10-20,0.559,1447953.3
2023-10-21,0.561,593611.42
2023-10-22,0.559,606084.46
2023-10-23,0.605,2547601.51
2023-10-24,0.615,2747810.71
2023-10-25,0.623,1210291.04
2023-10-26,0.617,1186782.94
2023-10-27,0.617,671231.19
2023-10-28,0.619,395195.76
2023-10-29,0.628,949480.12
2023-10-30,0.637,898096.35
2023-10-31,0.638,1111544.94
2023-11-01,0.653,1532436.76
2023-11-02,0.651,1454354.17
2023-11-03,0.68,2009812.76
2023-11-04,0.682,624634.18
2023-11-05,0.694,840778.93
2023-11-06,0.703,874878.05
2023-11-07,0.697,1433401.97
2023-11-08,0.689,1096410.83
2023-11-09,0.747,2269081.42
2023-11-10,0.741,1534733.11
2023-11-11,0.73,703432.69
2023-11-12,0.735,1038065.6
2023-11-13,0.745,1059561.52
2023-11-14,0.719,1228292.86
2023-11-15,0.759,1196765.49
2023-11-16,0.724,902261.62
2023-11-17,0.727,772701.64
2023-11-18,0.723,346014.91
2023-11-19,0.737,413469.01
2023-11-20,0.749,742754.86
2023-11-21,0.72,1153938.26
2023-11-22,0.754,927665.95
2023-11-23,0.75,957322.97
2023-11-24,0.766,1134169.1
2023-11-25,0.771,765815.71
2023-11-26,0.758,770845.8
2023-11-27,0.746,1038992.35
2023-11-28,0.749,951820.9
2023-11-29,0.739,1874135.84
2023-11-30,0.751,969605.93
2023-12-01,0.778,925422.98
2023-12-02,0.785,722452.45
2023-12-03,0.796,522532.33
2023-12-04,0.825,1819635.5
2023-12-05,0.834,1154140.38
2023-12-06,0.837,1051359.35
2023-12-07,0.873,807254.98
2023-12-08,0.88,1138935.08
2023-12-09,0.868,673350.25
2023-12-10,0.87,529968.03
2023-12-11,0.837,1182305.65
2023-12-12,0.831,859357.59
2023-12-13,0.861,771725.38
2023-12-14,0.869,1385602.89
2023-12-15,0.838,337977.61
2023-12-16,0.842,202473.66
2023-12-17,0.824,224062.16
2023-12-18,0.832,813027.87
2023-12-19,0.829,714332.97
2023-12-20,0.843,878514.69
2023-12-21,0.866,846440.51
2023-12-22,0.899,1830753.95
2023-12-23,0.9,1569304.03
2023-12-24,0.898,1024422.62
2023-12-25,0.906,617279.54
2023-12-26,0.886,1193362.96
2023-12-27,0.897,1173715.69
2023-12-28,0.879,1248278.18
2023-12-29,0.861,706492.39
2023-12-30,0.864,588021.64
2023-12-31,0.849,471766.59
2024-01-01,0.878,750277.22
2024-01-02,0.895,1380203.17
2024-01-03,0.877,1586258.34
2024-01-04,0.926,1494062.66
2024-01-05,0.925,1184159.0
2024-01-06,0.904,789396.12
2024-01-07,0.896,568523.27
2024-01-08,0.953,1879465.94
2024-01-09,0.941,1502787.75
2024-01-10,0.966,1360203.95
2024-01-11,0.964,2027695.01
2024-01-12,0.893,2292708.21
2024-01-13,0.895,1428245.06
2024-01-14,0.883,764024.79
2024-01-15,0.888,898190.74
2024-01-16,0.898,639073.63
2024-01-17,0.884,842761.8
2024-01-18,0.852,901906.0
2024-01-19,0.869,876100.43
2024-01-20,0.864,444380.92
2024-01-21,0.855,464529.35
2024-01-22,0.806,1632532.17
2024-01-23,0.787,1116951.99
2024-01-24,0.812,1066391.72
2024-01-25,0.819,890591.92
2024-01-26,0.855,972074.58
2024-01-27,0.869,640299.51
2024-01-28,0.861,666711.26
2024-01-29,0.887,676786.06
2024-01-30,0.889,1176308.76
2024-01-31,0.875,878417.97
2024-02-01,0.885,819353.99
2024-02-02,0.883,817990.86
2024-02-03,0.879,375988.01
2024-02-04,0.872,417400.7
2024-02-05,0.869,671093.41
2024-02-06,0.882,672471.73
2024-02-07,0.916,1258336.82
2024-02-08,0.92,1131161.47
2024-02-09,0.95,1128441.21
2024-02-10,0.947,514119.23
2024-02-11,0.955,780600.96
2024-02-12,0.997,2712825.06
2024-02-13,1.011,1205180.45
2024-02-14,1.043,1569502.79
2024-02-15,1.052,1286368.39
2024-02-16,1.075,1468157.38
2024-02-17,1.081,2029831.0
2024-02-18,1.17,2011807.21
2024-02-19,1.163,2066054.32
2024-02-20,1.158,1469448.58
2024-02-21,1.133,1366495.91
2024-02-22,1.15,817280.1
2024-02-23,1.132,944395.35
2024-02-24,1.143,608546.06
2024-02-25,1.153,1040540.93
2024-02-26,1.204,1530065.66
2024-02-27,1.219,1505885.95
2024-02-28,1.308,2992536.13
2024-02-29,1.371,3599573.3
2024-03-01,1.406,1614517.91
2024-03-02,1.394,1042815.27
2024-03-03,1.387,722996.28
2024-03-04,1.469,3981732.72
2024-03-05,1.355,4305974.28
2024-03-06,1.428,1645884.64
2024-03-07,1.421,1290875.54
2024-03-08,1.44,1803561.8
2024-03-09,1.435,781839.15
2024-03-10,1.413,1271684.64
2024-03-11,1.474,2537536.32
2024-03-12,1.503,2366036.82
2024-03-13,1.55,3189569.08
2024-03-14,1.474,3316457.3
2024-03-15,1.455,2653758.38
2024-03-16,1.353,1469144.67
2024-03-17,1.415,1168266.2
2024-03-18,1.324,2108801.66
2024-03-19,1.201,2665494.57
2024-03-20,1.353,2005582.13
2024-03-21,1.342,1099011.15
2024-03-22,1.307,1238071.52
2024-03-23,1.324,1237386.19
2024-03-24,1.391,1443751.34
2024-03-25,1.377,2254032.02
2024-03-26,1.393,1558162.14
2024-03-27,1.32,2534442.55
2024-03-28,1.348,1733714.59
2024-03-29,1.312,1593084.96
2024-03-30,1.31,1373366.44
2024-03-31,1.356,1536535.37
