open_time,close,volume
2023-05-15,15.08,1309248.51
2023-05-16,14.9,1044669.55
2023-05-17,15.17,1366340.39
2023-05-18,14.68,1392832.43
2023-05-19,14.68,850528.6
2023-05-20,14.63,449868.14
2023-05-21,14.31,799580.25
2023-05-22,14.68,1338597.29
2023-05-23,14.71,1082049.27
2023-05-24,14.14,1527725.49
2023-05-25,14.08,1411087.75
2023-05-26,14.33,1159336.18
2023-05-27,14.56,866210.61
2023-05-28,14.89,1663810.9
2023-05-29,14.48,1345784.55
2023-05-30,14.45,1193651.11
2023-05-31,14.11,1145769.56
2023-06-01,14.09,1037684.09
2023-06-02,14.49,1166756.42
2023-06-03,14.58,728715.16
2023-06-04,14.79,1070607.7
2023-06-05,13.87,2829208.26
2023-06-06,14.62,1992149.85
2023-06-07,14.02,1702244.4
2023-06-08,13.93,920454.95
2023-06-09,13.75,1330825.25
2023-06-10,11.65,7634205.663
2023-06-11,11.58,1692031.53
2023-06-12,11.52,1987087.75
2023-06-13,11.8,1946941.54
2023-06-14,11.38,2059036.04
2023-06-15,11.41,2323911.7
2023-06-16,11.55,1210256.45
2023-06-17,11.62,1144774.1
2023-06-18,11.34,1329941.71
2023-06-19,11.47,1123434.72
2023-06-20,12.12,1626750.24
2023-06-21,12.9,2738855.15
2023-06-22,12.65,2240979.03
2023-06-23,13.29,2283130.73
2023-06-24,13.01,1396657.31
2023-06-25,13.44,1464082.61
2023-06-26,13.15,2115880.03
2023-06-27,13.2,1323233.27
2023-06-28,12.34,2629569.82
2023-06-29,12.67,1769980.72
2023-06-30,13.03,3869609.02
2023-07-01,12.99,1571688.38
2023-07-02,13.13,2019538.49
2023-07-03,13.25,2397430.98
2023-07-04,13.04,2120178.89
2023-07-05,12.67,1996286.11
2023-07-06,12.37,2295716.98
2023-07-07,12.74,1501124.31
2023-07-08,13.64,4132298.8
2023-07-09,13.58,2882299.75
2023-07-10,13.39,2544390.52
2023-07-11,13.27,2000014.47
2023-07-12,13.01,1755979.45
2023-07-13,14.11,4270359.34
2023-07-14,14.64,8887780.0
2023-07-15,14.84,2332639.5
2023-07-16,14.29,1645509.68
2023-07-17,14.4,1862297.69
2023-07-18,13.8,1504811.26
2023-07-19,13.99,1249131.35
2023-07-20,13.88,1776280.27
2023-07-21,13.98,920020.15
2023-07-22,13.53,911581.17
2023-07-23,13.54,798875.26
2023-07-24,13.11,1501733.4
2023-07-25,13.33,1578349.7
2023-07-26,13.27,1381301.05
2023-07-27,13.15,898069.06
2023-07-28,13.22,669907.99
2023-07-29,13.23,306523.52
2023-07-30,13.12,898388.07
2023-07-31,12.82,1110757.24
2023-08-01,12.89,1385072.75
2023-08-02,12.55,1017575.22
2023-08-03,12.44,956470.45
2023-08-04,12.41,699345.21
2023-08-05,12.45,412492.25
2023-08-06,12.59,562034.72
2023-08-07,12.47,1011365.55
2023-08-08,12.68,1262794.87
2023-08-09,12.62,824323.31
2023-08-10,12.48,902127.87
2023-08-11,12.44,499834.93
2023-08-12,12.39,316232.47
2023-08-13,12.27,504796.73
2023-08-14,12.37,698660.88
2023-08-15,11.83,1220493.22
2023-08-16,11.38,1453581.04
2023-08-17,10.57,2153968.62
2023-08-18,10.81,1456015.19
2023-08-19,10.81,867573.99
2023-08-20,10.86,444700.39
2023-08-21,10.36,1327961.76
2023-08-22,10.15,1950280.84
2023-08-23,10.33,1041985.33
2023-08-24,10.12,907479.29
2023-08-25,10.04,1276333.67
2023-08-26,10.09,400362.23
2023-08-27,10.2,542549.14
2023-08-28,10.37,1100627.11
2023-08-29,10.81,2530985.01
2023-08-30,10.41,1031201.84
2023-08-31,9.98,1826854.02
2023-09-01,9.92,947344.83
2023-09-02,9.92,504146.54
2023-09-03,9.88,412221.11
2023-09-04,9.81,769303.74
2023-09-05,9.91,726190.8
2023-09-06,9.95,806313.46
2023-09-07,10.1,675529.11
2023-09-08,9.93,689024.96
2023-09-09,9.84,320699.91
2023-09-10,9.47,1644037.72
2023-09-11,9.23,1436614.67
2023-09-12,9.22,1493579.6
2023-09-13,9.29,1166588.89
2023-09-14,9.4,846740.43
2023-09-15,9.43,1025374.07
2023-09-16,9.38,874568.63
2023-09-17,9.1,1030936.69
2023-09-18,9.11,1649478.75
2023-09-19,9.21,1104724.32
2023-09-20,9.05,1653192.29
2023-09-21,8.83,1429451.17
2023-09-22,8.87,897556.95
2023-09-23,8.9,639062.46
2023-09-24,8.78,1047017.16
2023-09-25,8.95,974057.28
2023-09-26,9.04,934956.91
2023-09-27,8.92,1223697.83
2023-09-28,9.27,1399102.7
2023-09-29,9.17,1405080.87
2023-09-30,9.24,805999.91
2023-10-01,9.75,1684642.75
2023-10-02,9.31,1934866.84
2023-10-03,9.42,1282164.09
2023-10-04,10.1,3916501.71
2023-10-05,10.14,3629799.18
