open_time,close,volume
2024-03-18,11.611,24205936.43
2024-03-25,12.293,22173816.93
2024-04-01,11.081,17860783.45
2024-04-08,8.336,34175850.98
2024-04-15,8.756,20451120.25
2024-04-22,8.2,16032384.63
2024-04-29,9.335,20838280.16
2024-05-06,8.476,12165424.71
2024-05-13,8.206,11208774.04
2024-05-20,8.404,14302491.01
2024-05-27,8.292,10200953.55
2024-06-03,7.88,11970975.68
2024-06-10,7.222,10941367.32
2024-06-17,6.695,11963231.84
2024-06-24,6.733,9061624.65
2024-07-01,5.795,14841305.05
2024-07-08,6.231,8235332.83
2024-07-15,6.533,9123562.38
2024-07-22,6.218,8870226.02
2024-07-29,5.049,11826891.108
2024-08-05,4.899,16332952.669
2024-08-12,4.567,10393865.55
2024-08-19,5.063,20944380.45
2024-08-26,4.3,14836578.47
2024-09-02,3.808,21638849.3
2024-09-09,4.06,16735554.78
2024-09-16,4.593,18246122.86
2024-09-23,5.026,18022270.28
2024-09-30,4.649,15520801.07
2024-10-07,4.34,12568993.22
2024-10-14,4.694,13845573.01
2024-10-21,4.454,20428342.56
2024-10-28,3.977,13940673.95
2024-11-04,5.268,29608758.64
2024-11-11,5.691,53447237.31
2024-11-18,8.757,71084778.76
2024-11-25,8.907,33392761.37
2024-12-02,10.127,53022607.18
2024-12-09,9.11,43526257.26
2024-12-16,6.404,39920121.63
2024-12-23,6.294,14895037.67
2024-12-30,7.342,15542140.95
2025-01-06,6.459,20041127.93
2025-01-13,5.892,27771871.95
2025-01-20,6.098,26006533.65
2025-01-27,4.882,22781700.59
2025-02-03,4.57,41820532.78
2025-02-10,4.765,21599227.77
2025-02-17,4.878,17274548.3
2025-02-24,4.907,22726989.56
2025-03-03,3.806,19872194.5
2025-03-10,4.614,24265915.08
2025-03-17,4.807,17449829.15
2025-03-24,4.314,13207696.41
2025-03-31,4.441,19387681.51
2025-04-07,4.147,19649724.29
2025-04-14,4.149,9878537.57
2025-04-21,4.378,17954726.21
2025-04-28,4.095,9251982.51
2025-05-05,5.31,16811351.28
2025-05-12,4.963,15864467.63
2025-05-19,4.79,12396382.59
2025-05-26,4.366,11455055.18
2025-06-02,4.267,8106200.53
2025-06-09,4.093,10712937.52
2025-06-16,3.719,10592129.52
2025-06-23,4.204,8599224.37
2025-06-30,4.079,7046454.98
2025-07-07,4.679,11202013.51
2025-07-14,5.174,16770957.92
2025-07-21,4.874,14646748.39
2025-07-28,4.273,16194816.92
2025-08-04,4.662,13230756.25
2025-08-11,4.622,14716662.2
2025-08-18,4.791,15427176.2
2025-08-25,4.467,13472551.22
2025-09-01,4.484,9481917.6
2025-09-08,4.635,11216875.05
2025-09-15,4.4,10339216.96
2025-09-22,4.183,12068452.75
2025-09-29,4.148,16173029.57
2025-10-06,3.483,33007927.66
2025-10-13,3.228,16949230.77
2025-10-20,3.254,11173367.02
2025-10-27,3.054,12268633.97
2025-11-03,2.972,32214165.19
2025-11-10,2.766,14487750.96
2025-11-17,2.497,20864814.97
2025-11-24,2.376,9672521.42
2025-12-01,2.18,11812981.79
2025-12-08,2.103,12267404.79
2025-12-15,1.942,14892416.1
2025-12-22,2.074,8469351.33
2025-12-29,2.34,10320388.53
2026-01-05,2.574,15833126.04
2026-01-12,2.426,10171614.6
2026-01-19,2.236,12457712.09
2026-01-26,1.91,12057020.58
2026-02-02,1.95,20138224.03
2026-02-09,1.901,2944454.88
