open_time,close,volume
2023-05-17,1.877,2564637.38
2023-05-18,1.84,2852882.09
2023-05-19,1.831,1970992.94
2023-05-20,1.84,896405.88
2023-05-21,1.805,1224663.07
2023-05-22,1.802,1672485.71
2023-05-23,1.807,1453540.71
2023-05-24,1.646,4367319.33
2023-05-25,1.54,7222547.74
2023-05-26,1.556,3615781.98
2023-05-27,1.555,2000225.87
2023-05-28,1.677,4424319.56
2023-05-29,1.706,11203805.39
2023-05-30,1.721,4329379.6
2023-05-31,1.635,3949666.74
2023-06-01,1.668,2434292.49
2023-06-02,1.76,5467558.11
2023-06-03,1.754,3280158.39
2023-06-04,1.739,2399437.2
2023-06-05,1.571,6576336.65
2023-06-06,1.633,4156848.24
2023-06-07,1.535,4128563.59
2023-06-08,1.564,2326805.33
2023-06-09,1.558,1979952.14
2023-06-10,1.425,5644821.19
2023-06-11,1.402,1980829.1
2023-06-12,1.345,5990664.82
2023-06-13,1.401,3518493.07
2023-06-14,1.359,3527350.59
2023-06-15,1.352,3134114.3
2023-06-16,1.396,3339723.24
2023-06-17,1.425,1696332.06
2023-06-18,1.402,1329344.22
2023-06-19,1.398,1796977.41
2023-06-20,1.411,3034658.78
2023-06-21,1.433,5386396.73
2023-06-22,1.407,4793032.19
2023-06-23,1.434,4439082.17
2023-06-24,1.421,4426690.99
2023-06-25,1.61,17959193.96
2023-06-26,1.534,7567983.02
2023-06-27,1.548,3606021.2
2023-06-28,1.47,5223782.73
2023-06-29,1.487,3054867.5
2023-06-30,1.561,6471543.07
2023-07-01,1.596,3400352.85
2023-07-02,1.579,2979233.02
2023-07-03,1.596,4063462.51
2023-07-04,1.551,3829552.3
2023-07-05,1.513,4909754.12
2023-07-06,1.455,3872094.59
2023-07-07,1.475,1527086.23
2023-07-08,1.469,1630673.34
2023-07-09,1.458,1062040.95
2023-07-10,1.515,5364893.77
2023-07-11,1.503,2293481.99
2023-07-12,1.488,2205815.71
2023-07-13,1.581,5713188.97
2023-07-14,1.554,8124969.55
2023-07-15,1.539,2500796.95
2023-07-16,1.502,1754868.03
2023-07-17,1.549,6831374.02
2023-07-18,1.511,3165331.94
2023-07-19,1.516,1735739.07
2023-07-20,1.541,3355922.7
2023-07-21,1.538,1767343.65
2023-07-22,1.525,1377207.09
2023-07-23,1.536,959705.93
2023-07-24,1.497,2255757.6
2023-07-25,1.485,1464691.28
2023-07-26,1.48,2075652.25
2023-07-27,1.496,1476357.28
2023-07-28,1.513,2372419.07
2023-07-29,1.51,990734.05
2023-07-30,1.495,1570247.51
2023-07-31,1.549,14437309.0
2023-08-01,1.548,5112704.63
2023-08-02,1.511,2908446.18
2023-08-03,1.508,1546663.54
2023-08-04,1.505,1718422.08
2023-08-05,1.495,1408183.05
2023-08-06,1.489,1719205.32
2023-08-07,1.482,2646710.84
2023-08-08,1.5,1945965.02
2023-08-09,1.491,1637141.27
2023-08-10,1.472,1449631.02
2023-08-11,1.46,1191507.59
2023-08-12,1.459,926832.48
2023-08-13,1.472,2545463.26
2023-08-14,1.493,2001595.64
2023-08-15,1.458,2996314.5
2023-08-16,1.425,2390787.17
2023-08-17,1.34,4124136.98
2023-08-18,1.316,3119478.85
2023-08-19,1.321,2248106.03
2023-08-20,1.315,1236049.4
2023-08-21,1.276,2977101.94
2023-08-22,1.242,3510393.7
2023-08-23,1.272,2190251.92
2023-08-24,1.282,2764467.65
2023-08-25,1.28,1601584.91
